stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0
3Month,0,1.92,10.56,0.32,10.24,0.32,0,0.96,0.32,0,26.88,0.32,0.64,12.48,0.64,0.32,1.28,0.32,0,0.32,0,0.32,0.32,2.88
22Month,1.09,2.19,14.21,0,18.59,9.29,1.09,13.12,0.55,1.64,110.97,0.55,0,12.03,2.19,1.64,0,4.92,0.55,0,0,0,0,22.96
