stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,28.6,8.17,0,0,0,4.09,40.86,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,2.14,3.21,0,6.42,1.07,0,0,0,0,0,0,0,1.07,6.42,12.84,18.19,0,0,0,64.19,11.77,1.07,0,13.91,0,0,5.35,0,0,0,0,0,0
21Day,2.68,0,0,14.72,0,1.34,0,2.68,0,1.34,2.68,0,0,8.03,10.71,17.4,0,0,0,16.06,4.02,0,0,12.05,2.68,0,1.34,0,2.68,0,0,0,0
3Month,0.32,0.96,0.32,11.2,0,0,0.32,16.64,4.48,13.76,0,1.6,0,4.8,7.36,0.96,0.32,0,0.32,0,0.32,0.32,0,0.32,0.32,0.64,0,0,0,0,1.28,1.28,0.64
22Month,0,0.55,0,3.83,0,0,0,45.92,13.67,7.11,0,1.09,0,0,12.03,1.64,0,1.09,0,0,0,0,0.55,0.55,0,0.55,0,0.55,0,0.55,0,0,1.09
