stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,1.07,0,0,0,0,0
21Day,0,4.02,4.02,2.68,0,1.34,0,0,2.68,0,36.14,0,1.34,0,0,0,0,0,0,0,1.34,8.03,0,0,0,0,0,0,1.34,0,0,0
3Month,0.96,13.12,26.24,0,0.64,24.32,1.92,0,31.67,0.96,217.25,1.28,3.52,6.72,2.88,0.64,0,12.48,0.32,0.64,0,8.64,0,0,0.32,2.56,0,0,0,0.32,2.88,1.6
22Month,1.64,15.85,29.52,0,0,42.64,3.83,1.64,44.83,0,388.12,0,2.19,4.37,3.83,0,0.55,16.95,0,0.55,0.55,20.23,2.19,0,1.09,0,1.09,0.55,0,0,0,0.55
