stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,192.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.11,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,217.17,0,0,1.07,0,1.07,0,0,0,0,0,0,0,1.07,5.35,0,16.05,0,18.19,11.77,4.28,1.07,0,4.28,0,0,1.07,0,0,1.07,0,0
21Day,171.33,0,0,4.02,0,2.68,0,0,0,0,0,0,0,1.34,1.34,2.68,6.69,0,53.54,1.34,1.34,0,0,4.02,1.34,0,0,0,2.68,1.34,0,0
3Month,51.51,0,0.32,4.16,0.32,0,0.32,0.32,0.32,13.76,0.64,0,1.28,0.32,0,0.32,1.92,0.64,1.6,0.32,0,0.32,1.92,0,0.64,1.6,0,0,0,0.96,0.64,0.64
22Month,20.23,0.55,1.09,3.28,0,0,0,0.55,3.28,44.28,1.64,1.09,3.83,0,0.55,3.83,4.92,0,6.56,0,0,0,12.03,0,0,1.64,0.55,0.55,0,0.55,0,1.09
