stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,28.6,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,1.07,13.91,0,0,0,0,0,0,1.07,0,0,0,1.07,0,1.07,0,0,0,0
21Day,0,0,12.05,0,0,0,0,0,0,0,0,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,0,48.95,0.32,0,15.04,2.56,0,4.8,18.88,3.2,1.92,24,4.16,0.96,0.32,0.32,12.16,0.64,0.64,1.28,0,0,0.32,3.84,0,0.96,1.28,2.88,2.24
22Month,6.56,2.19,24.6,0,0.55,7.11,2.19,0,9.84,6.01,3.28,1.09,8.2,1.64,1.09,0.55,0,10.39,0.55,0,0.55,0.55,0.55,0.55,1.09,0,0,0,0,1.09
