stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,16.35,0,0,0,0,0,4.09,4.09,4.09,0,0,28.6,0,0,0,0,0,0,0
72hpf,0,0,2.14,1.07,0,0,0,13.91,0,1.07,0,5.35,3.21,0,1.07,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,1.34,0,4.02,0,1.34,2.68,1.34,0,1.34,0,0
3Month,0,0.64,0,0,0.32,0.32,0.32,0.32,0,0,0,0.64,0,0.32,0,0,3.52,0,0.32,0.64
22Month,0.55,4.92,0,0,2.73,0.55,0.55,0,0.55,1.64,2.73,0,0,0,0,0,1.09,0.55,0,0.55
