stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,8.17,12.26,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,5.35,1.07,1.07,0,0,0,0,0,0,0,0,1.07,8.56,2.14,10.7,1.07,0,18.19,14.98,1.07,1.07,4.28,0,3.21,1.07,1.07,0,0,0,0
21Day,1.34,0,1.34,29.45,0,8.03,0,6.69,0,0,0,0,13.39,0,1.34,9.37,5.35,8.03,0,4.02,2.68,8.03,0,0,5.35,0,0,0,2.68,1.34,0,0,4.02
3Month,0,0,0,4.8,0,0,0.32,0,3.52,0,2.24,2.56,0.96,1.28,0.32,0.32,4.48,0.64,0,0.64,0,0,0.32,0.32,0.32,3.52,0,0,0,0,0.96,1.92,5.44
22Month,0.55,0.55,0,7.65,0,0,0,1.09,24.6,1.09,12.57,7.11,3.28,0,0,1.64,9.84,1.64,0.55,1.09,0,0,0.55,0,0,1.09,0,0,0,0,0,0,7.11
