stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,3.21,0,0,1.07,19.26,10.7,0,1.07,0,6.42,0,0,0,1.07,0,0,0
21Day,0,2.68,1.34,0,0,0,1.34,0,0,0,1.34,0,0,0,10.71,2.68,0,0,0,2.68,0,0,4.02,0,0,0,0
3Month,0.32,0.64,0.96,0,0.96,0.32,9.6,0.64,0.64,0.64,0.64,0.32,0.32,0.64,0,0,0.64,0,0,0,1.28,5.44,0,0.32,1.6,0.96,0.64
22Month,0,0,0.55,0,0,0.55,5.47,0.55,0,1.09,1.09,0,0,0,0,0,0,0,1.09,0,0,0.55,0,0,0,0,0.55
