stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,2.14,0,0,0,5.35,0,0,0,2.14,0
21Day,0,0,8.03,2.68,0,0,0,1.34,16.06,0,1.34,1.34,0,1.34,0,0,1.34,0
3Month,0,0,0.32,0,0,0.64,0.64,0.32,0,0,0.32,0,0,0,0,0,0,0
22Month,0,0.55,1.64,0,0.55,1.09,10.39,0,0.55,0.55,0,0,0,0,0.55,1.09,0,0.55
