stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,12.26,0,0,0,0,0,0,0,0,0,4.09,0,4.09,16.35,0,0,0,0,0,77.64,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,1.07,9.63,3.21,0,0,1.07,0,0,1.07,1.07,0,0,0
21Day,0,0,8.03,4.02,4.02,0,0,0,0,0,0,0,0,0,2.68,2.68,0,0,0,0,5.35,4.02,0,0,2.68,1.34,0,2.68,0,0,0,0
3Month,0,0,5.12,0,0,1.28,1.28,0.32,4.48,1.6,0.32,2.88,0.96,0.32,2.24,4.48,0.64,0,1.28,0.96,0.32,0,0.32,0.32,0.32,0.96,11.84,0.32,0,1.6,4.16,3.2
22Month,0.55,0.55,0.55,0,0,0.55,2.73,0,4.92,1.09,0.55,1.64,0,0,0.55,0,0,1.09,0,0,0.55,0,1.09,0,0,0,1.64,0,0,0.55,0,0.55
