stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,8.56,0,0,6.42,0,2.14,0,0,0,0,0,0,0,0,1.07,7.49,0,5.35,0,1.07,0,0,173.31,3.21,7.49,0,0,1.07,0,0,1.07,0,1.07,0,0,0
21Day,25.43,1.34,0,4.02,1.34,4.02,0,1.34,1.34,0,0,0,1.34,1.34,0,2.68,2.68,16.06,0,1.34,0,0,73.62,5.35,13.39,1.34,0,1.34,5.35,0,2.68,0,1.34,0,0,0
3Month,1.28,0.96,0.64,15.68,0,0,0.32,0.32,0.96,0,8,4.8,0,3.2,0.32,2.24,2.24,4.48,0.64,0.32,0.64,0.64,76.47,0.32,24.64,0.32,0,0.64,0.96,7.04,0.32,0,0,4.16,1.6,1.6
22Month,1.09,2.19,0.55,1.64,0,0,0.55,0,1.09,0.55,13.12,0,0,0,0,1.09,0,5.47,0,0.55,0,0.55,63.96,0,23.51,0,0.55,0,0,0,0,0.55,0,0.55,0,0.55
