stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,10.7,0,1.07,2.14,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,42.79,0,0,5.35,0,28.88,8.56,0,0,29.95,0,0,0,0,0,0,0,0
21Day,4.02,10.71,1.34,6.69,2.68,0,1.34,0,0,2.68,0,1.34,5.35,10.71,0,0,1.34,4.02,80.31,0,0,49.53,0,41.49,5.35,1.34,8.03,14.72,2.68,0,0,1.34,5.35,1.34,0,4.02
3Month,1.28,35.83,0,8.32,0,0.64,2.24,0.32,0.96,32.63,0.64,9.92,39.35,4.48,5.12,0.64,2.88,21.44,28.48,3.52,0,17.6,1.92,1.92,0,0.64,3.52,2.24,1.6,3.52,0,0.32,0,183.65,4.16,25.92
22Month,0.55,39.91,0,1.64,0,0.55,0,0,0,28.43,10.93,83.09,21.32,7.65,3.83,0,0.55,14.21,13.67,0,2.19,6.56,0,1.64,0,1.64,1.64,1.09,1.09,1.64,0.55,0.55,0,19.68,0,9.84
