stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,4.02,0,0,2.68,1.34,0,0,0,0,0,1.34,0,2.68,4.02,0,4.02,1.34,0,0,0,0,0,2.68,1.34,0,0,0,0,0,0,1.34
3Month,0,0.96,2.24,26.56,0,0.96,0.32,5.76,0.64,0,7.36,2.24,1.92,62.07,0.64,4.48,1.28,2.24,1.6,0,0.96,2.24,0.64,0,0.32,1.6,2.88,0.32,0.32,2.88,25.6
22Month,0,2.73,6.01,5.47,0,1.64,0,3.83,0.55,2.73,37.17,1.64,2.19,80.9,0,1.09,3.28,3.28,0.55,1.09,3.83,0.55,0,0,0,1.09,0.55,0,0.55,0,27.33
