stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,36.78,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,1.07,1.07,0,0,0,3.21,5.35,0,4.28,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,1.34,0,4.02,0,1.34,0,1.34,5.35,0,0,0,1.34,1.34,0,0
3Month,0,0.32,1.28,0.32,0,1.92,0.32,0,0,0,0,0.64,0.32,0,0,0,0,0.64,4.16,0,1.6,0.32
22Month,0,0,0.55,0,3.28,7.65,0,0,1.09,3.28,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0.55
