stage,Endothelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,1.07,0,0,2.14,1.07
21Day,0,0,0,0,0,0,1.34,0,0
22Month,0.55,0.55,1.64,7.11,0,0.55,0,8.2,0
