stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neurosecretory_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,7.49,0,0,0
21Day,12.05,1.34,0,0,2.68,0,0,0
3Month,1.92,0,0,0,0.64,0.32,0.32,0
22Month,0,0,1.64,0.55,0.55,0,0,0.55
