stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,4.09,24.52,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,0,2.14,1.07,2.14,0,0
21Day,1.34,1.34,1.34,2.68,2.68,0,0,1.34,0,1.34,0,1.34,1.34,0,2.68,0,1.34,0,0,2.68,1.34
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0.32,0,0,0,0,0
22Month,0,0,1.64,0,0,0.55,0.55,0.55,0.55,0.55,0.55,0,0,1.64,1.09,1.09,0,0,0,0,0
