stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,18.74,0,0,5.35,1.34,2.68,0,0,0,6.69,1.34,0,0,2.68,0,18.74,0,0,0,0,21.42,2.68,4.02,0,1.34,0,0
3Month,0,0,0,3.2,0,0,0.32,8,40.95,4.16,0.32,2.24,0.96,0.32,0.32,37.75,0.32,0,0,0.64,0,0,17.6,0.96,0,0.32,0.32
22Month,0,2.73,0.55,1.64,0,0,1.09,2.19,3.28,32.8,0.55,0.55,0,0,1.09,29.52,0,1.64,0.55,1.09,0,0,0,0,1.09,0,0.55
