stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,69.47,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,4.28,0,3.21,3.21,0,0,0,0,0,0,0,0,0,2.14,0,62.05,0,1.07,0,0,4.28,3.21,0,0,54.56,0,0,0,6.42,0,0,0
21Day,1.34,4.02,0,6.69,1.34,2.68,0,0,0,0,0,2.68,0,1.34,1.34,0,65.59,1.34,0,12.05,0,9.37,5.35,0,0,73.62,0,0,1.34,10.71,0,0,0
3Month,0,1.28,0.32,3.84,0.32,0,0.96,2.88,0,8.96,0.96,0.96,3.2,0.96,1.28,2.24,60.79,6.72,0,24.32,1.92,1.28,0,0.96,0.32,0.64,0.32,3.52,0,1.28,17.6,3.2,1.28
22Month,0,3.83,0,1.64,1.09,0,0.55,1.09,3.83,30.61,0.55,2.19,2.73,1.09,0.55,0.55,20.23,1.09,1.09,15.31,0.55,0,0,1.09,0,0,0.55,0.55,0.55,0,3.28,0,2.19
