stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,4.09,0
72hpf,0,0,0,3.21,1.07,0
21Day,0,0,0,2.68,0,1.34
3Month,0.32,0.32,0,0,0,0
22Month,0.55,2.19,1.09,0,0,0
