stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,4.09,12.26,0,0,0,8.17,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,2.14,0,0,1.07,0,1.07,0,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,2.68,0,0,1.34,4.02,0,0,0,0,0,0
3Month,0,0.32,4.8,1.92,0.64,5.12,0.96,11.52,0.32,0.96,0.64,0.96,0.32,0.64,0,0,0.32,0.32,5.44,0.64,15.04,0.96
22Month,0,0,0,0.55,0,3.28,0,4.92,0,0,0,0,1.09,0,0,0,0,0,1.64,9.84,0,0
