stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,4.02,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0
3Month,1.28,9.92,0.32,1.6,0.96,0,2.56,3.2,4.48,1.6,0.32,5.12,0.96,0,0.32,0.32,0,1.6,0.32,0.32,0.32,2.56,0.32
22Month,0,1.09,0,1.64,2.73,0,3.83,0,3.28,0,0,4.37,1.09,0.55,0,0,0,1.09,1.09,0,0,0,0
