stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,6.42,0,0
21Day,2.68,0,0,0,0,1.34,0,0
3Month,0,0,0.64,0,0.32,0,0.64,8.64
22Month,0,1.64,1.64,0.55,0.55,0,9.29,0
