stage,Epithelial_cell,Erythroid_progenitor_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,28.6,0,0,0
72hpf,0,0,0,1.07,0,0,8.56,4.28,0,0,1.07
21Day,1.34,1.34,2.68,0,1.34,2.68,1.34,0,1.34,1.34,0
