stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,40.86,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,2.14,4.28,1.07,2.14,0,0,0,42.79,8.56,0,1.07,3.21,0,0,0,1.07,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,1.34,0,16.06,0,0,0,0,0,1.34,1.34,0,0,0,0,1.34
3Month,4.48,0.64,16.32,0,0.64,0,0.64,2.24,2.88,0,26.24,3.52,0.96,1.6,0,4.48,4.8,13.44,1.28,1.6,0.64,2.24,0.32,2.24,1.6,0.32,1.6,5.76,0,0,0.32,0.64,17.28,19.52
22Month,1.09,0,1.64,0,0,0.55,0,0.55,0,2.19,14.21,1.09,0,0.55,0,0.55,3.83,7.65,0.55,1.09,0,1.64,0,1.64,3.28,0,0,3.83,0,0,0,0,0,4.37
