stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,4.09,12.26,0,12.26,16.35,28.6,0,4.09,163.46,4.09,0,0,0,4.09,0
72hpf,1.07,0,1.07,0,0,0,1.07,0,5.35,2.14,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,1.34,0,0,0,1.34,1.34,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0.32
22Month,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0
