stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,0,0,1.07,3.21,0,0,0,0,0,0,0,0,0,5.35,1.07,0,0,0,0
21Day,0,0,5.35,4.02,0,1.34,0,0,0,0,0,0,1.34,0,2.68,0,1.34,0,0
3Month,0,0.32,0.96,0,0.32,0,0.32,0.96,0.32,0.64,0.96,0.32,0.32,0,0,0,14.08,0.32,8.96
22Month,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0.55,1.09,0,0
