stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,3.52,0.32,0.96,1.6,0.64,0.64,1.28,0.64,0.32,0.32,0,0,0,0.96,82.55,0.32,2.24,63.99,0.64
22Month,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,0
