stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,12.26,77.64,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,4.28,0,0,0,0,0,0,0,0,0,1.07,0,1.07,5.35,0,1.07,24.61,6.42,0,1.07,3.21,0,0,1.07,0,0,0
21Day,1.34,0,26.77,1.34,0,4.02,0,0,2.68,0,2.68,0,0,0,0,5.35,0,0,2.68,0,0,0,0,1.34,0,1.34,0,0,1.34
3Month,0,0,4.8,0,0.32,0,0.32,0.32,2.56,0.32,0.32,1.6,0,0.32,0,1.28,0.64,0.64,0.64,0,0.32,0,0,1.28,72.31,0,0.64,13.12,0.96
22Month,0,0,1.09,0,0,0,0,0.55,3.28,0.55,0,0.55,0,0,1.09,0,0,0,0,0,0,0.55,0,0,12.57,0,0,0,0
