stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_cell,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Smooth_muscle_cell
24hpf,4.09,81.73,4.09,0,0,0,0,4.09,0
72hpf,0,8.56,0,0,0,0,0,0,0
21Day,0,6.69,0,1.34,0,0,1.34,0,0
3Month,0,0.96,0,0,0.32,0.32,0,0,0.96
