stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_cone_cell
24hpf,8.17,0,0,0,8.17,0,12.26,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,0,0,0,40.65,1.07,1.07,2.14,1.07,0,0,0
21Day,77.63,1.34,1.34,0,0,1.34,82.99,0,1.34,5.35,2.68,2.68,1.34,1.34
3Month,2.56,0,0,0.64,0,0.32,0.64,0.32,0.32,0,0,0,0,0
