stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,20.43,0,0,0,0,16.35,682.43,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,8.56,0,3.21,1.07,0,0,0,0,0,0,0,0,0,8.56,1.07,0,16.05,0,0,0,0,21.4,6.42,1.07,0,36.37,0,0,1.07,0,0,0,0,0
21Day,6.69,9.37,8.03,1.34,0,0,0,0,0,2.68,0,1.34,1.34,0,2.68,1.34,157.95,0,0,0,0,13.39,13.39,2.68,0,84.33,6.69,0,4.02,1.34,1.34,0,0,1.34
3Month,0.32,21.76,17.6,0,0,0.32,9.6,5.44,0.32,5.44,1.28,0,5.12,1.28,0.64,2.56,82.87,0.64,0.32,1.6,0.32,0.32,0,3.52,0.32,0,0.64,3.84,0,0,0,1.28,4.48,0.64
22Month,0,48.65,4.92,0,1.64,0,3.83,1.64,0.55,9.29,1.09,0.55,3.83,0,0,1.09,49.75,0,0,1.09,0,0,0,6.01,0.55,0,0,9.29,0,0,0,0,0,0
