stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,149.77,0,0,3.21,5.35,41.72,0,0,1.07,0,0,0
21Day,4.02,0,0,10.71,9.37,0,0,0,0,1.34,0,0,4.02,674.62,0,1.34,5.35,10.71,29.45,5.35,0,0,4.02,0,0
3Month,0,0,0.32,2.56,0,0.32,1.6,3.84,0.96,0,0.96,0.96,0,54.71,11.84,0,0.64,0,0,0.32,1.28,0,0,0.32,0.32
22Month,0,0,0,1.09,0,0,0,4.37,0,0.55,0.55,0,0,12.03,0.55,0,0,0,0,0,0,0,0,0,0
