stage,Erythrocyte,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
24hpf,0,0,0,8.17,0,0,0
72hpf,1.07,0,1.07,29.95,1.07,1.07,1.07
21Day,1.34,0,0,14.72,0,0,0
22Month,0,1.64,0,0,0,0,0
