stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,33.16,3.21,0,0,0,0,0,2.14,717.83,5.35,0,0,0
21Day,9.37,0,0,18.74,41.49,0,1.34,1.34,0,1.34,4.02,5.35,1.34,5.35,6.69,16.06,0,0,2.68,0,25.43,8.03,0,1.34,5.35,25.43,0,0,2254.09,29.45,9.37,0,0
3Month,0,0.32,0,0.32,0,0,0,1.28,0,1.28,0,0.96,0,0,1.6,0,0.32,0,0,0.32,0,0,0,0,0,0,0,0,18.24,0.32,0,0.32,0
22Month,0.55,1.09,1.09,4.37,0,1.09,2.19,14.76,0.55,31.16,1.64,8.2,0,0.55,2.73,3.28,0,1.64,0.55,0,0.55,0,0.55,0.55,0.55,0,0.55,3.83,1852.07,0,0,0,2.73
