stage,Goblet_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Neural_cell,Osteoblast,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,1.07,4.28,0,0,0
21Day,0,0,0,0,1.34,1.34,1.34,0,1.34
3Month,0,0,0.96,0,0.64,0,0,0,0.96
22Month,0.55,1.09,0.55,0,0.55,0,0,0.55,0
