stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,24.52,0,0,4.09,4.09,0,0,0,0,4.09,0,0,0,0,0,0,8.17,216.58,0,0,0,20.43,682.43,0,8.17,0,0,0,4.09,0,0
72hpf,2.14,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,0,53.49,10.7,0,0,0,0,1.07,1.07,0,0
21Day,2.68,0,0,0,0,0,0,5.35,0,0,0,0,2.68,0,0,0,0,2.68,0,1.34,1.34,18.74,2.68,0,0,0,0,0,0,0,1.34
3Month,0,0,0.32,0.96,0,0,0.32,13.44,0,0,2.56,5.12,0.64,0.32,0,0.64,1.28,0.32,0.32,0,0.32,0,0.32,0,0,0.96,0,0,0,0.64,1.28
22Month,0,0.55,0,2.19,0,2.19,0.55,39.36,1.09,0,31.16,1.64,0.55,2.73,0.55,0,10.93,1.64,0,0,0,0.55,0,0.55,0.55,0.55,1.64,0,0,0,3.28
