stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,1.07,0,17.12,2.14,1.07,0,0,10.7,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,1.34,0,0
3Month,0,0.32,0.64,5.12,0,0.32,0.32,0,0,0.32,0.64,0,0,0.64,0.64,0.32,0.32,1.6
22Month,0.55,0,0,4.37,0.55,0,0.55,0.55,0.55,0,0,0,0,0,0,0.55,0,0
