stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,16.05,0,0,0,0,0,0,0
21Day,4.02,0,1.34,0,1.34,1.34,0,36.14,0,1.34,2.68,0,0,2.68,0
3Month,0,0.64,0,0.32,0,0,0.32,0,0,0.32,0,0.32,0,0,0
22Month,0.55,2.73,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0.55
