stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,23.54,1.07,2.14,0,0,0,1.07,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,1.34,0,1.34,0,2.68,0,0,16.06,4.02,0,1.34,0,0,2.68,1.34,0,0,0
3Month,1.6,0,4.48,0,0,0.64,0,6.08,0.32,2.24,0.64,1.6,1.28,1.92,0.64,0,1.28,0,0.64,0.32,0.32,9.6,0.32,0,0.32,28.48,1.28
22Month,0,0.55,1.09,0,0.55,2.19,1.09,15.31,0.55,1.64,0,0.55,0.55,1.64,0,1.64,0.55,0,0,0,0,7.65,0,0,0,0,0
