stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,32.69,0,0,0,0,0,0,0,0,24.52,0,0,0,4.09,16.35,0,0,0,0,0,0,0
72hpf,1.07,16.05,1.07,0,0,0,0,0,0,1.07,110.19,0,2.14,0,18.19,3.21,0,0,0,0,0,0,0
21Day,5.35,58.9,0,0,0,1.34,0,0,0,2.68,81.65,1.34,4.02,0,13.39,1.34,0,0,2.68,2.68,2.68,0,0
3Month,0,11.2,0,0.32,2.88,1.28,0.64,0.32,2.24,0,10.56,0.96,0.32,2.56,0.64,0,5.76,0.64,0,0,0,0.32,0.32
22Month,0,0,0,0,2.19,0.55,0,0,3.83,0,0,0,0,0,0.55,0,0.55,1.09,0,0,0,0,0
