stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,1.34,0
3Month,0,0.32,0,0,0.32,0,0,0.96,0,0,0,0.32,0.64,0,0.32,0.32,0,0,0,0
22Month,0.55,1.09,0.55,0.55,0.55,1.09,1.09,19.13,0.55,0.55,2.73,0,0.55,1.64,0,0,0,0,0,0.55
