stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,0,6.42,0,18.19,0,1.07,0,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,1.34,0,0,8.03,8.03,9.37,1.34,0,2.68,0,1.34,0,0
3Month,0,0.96,3.84,0,0,0.32,0.32,0.96,0.32,0.64,0,0.64,1.28,1.92,1.28,0.32,0,0,0.96,3.84,0,13.44,0.64
22Month,0,0.55,1.09,0,0,2.73,31.71,4.37,0,0,0,0,1.64,2.19,2.19,1.09,0,0,0,1.09,0,0,0
