stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,2.14,0,0,0,0,0,2.14,1.07,0,314.52,3.21,1.07,3.21,0,0,1.07,0,1.07,0,0
21Day,1.34,1.34,2.68,0,0,0,0,0,1.34,0,4.02,93.7,2.68,0,1.34,2.68,0,5.35,1.34,0,0,1.34
3Month,0,0.32,0,0.32,0.32,0.32,0.32,0.32,0,0,0,1.6,0,0,0.96,0,1.92,0,0,0,2.88,0
22Month,0,0,0,0,0.55,6.56,1.09,0,1.09,0,0,0.55,0.55,0,0,0,1.64,0,0,0,0,0
