stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,25.67,0,0,0,1.07,0,0,0,0,0,0,0
21Day,2.68,0,136.53,6.69,0,0,1.34,0,0,0,0,0,1.34,1.34,0,4.02,1.34,5.35,0,0,77.63,5.35,2.68,10.71,0,2.68,0,1.34,1.34,0,0,0
3Month,0.32,1.28,42.55,5.12,0.32,0,0,1.6,1.92,0,18.88,4.48,0.96,25.6,1.28,3.52,2.56,3.52,0.96,1.6,247.32,0.64,0.32,16,0.32,2.88,5.44,0,0,0.96,2.24,1.28
22Month,0,0,19.13,1.09,0,0,0,2.19,1.09,0.55,25.15,1.64,0,4.37,0.55,0,1.09,5.47,0,0,18.04,0,0,4.92,0,0.55,1.64,0,0,0,0,0
