stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,907.18,0,0,0,4.09,4.09,0,0,4.09,0,0,0,0,0,0,8.17,12.26,0,0,200.23,44.95,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,754.2,1.07,0,1.07,0,1.07,0,0,0,0,0,0,0,1.07,9.63,0,6.42,0,0,66.33,11.77,0,0,10.7,1.07,0,2.14,0,1.07,23.54,0,0,0
21Day,481.87,0,0,8.03,0,0,0,1.34,0,1.34,0,1.34,2.68,0,4.02,0,9.37,0,1.34,58.9,8.03,0,2.68,0,9.37,0,4.02,2.68,5.35,6.69,0,0,1.34
3Month,122.86,0.64,0.32,2.56,0,0,0.32,0.96,0,5.12,1.28,0.32,3.84,0.32,3.52,1.6,14.72,1.28,1.28,0.96,0,0.96,13.12,0.32,0.96,6.72,0.32,0,0,0,1.92,1.92,1.92
22Month,13.12,0,0,0.55,0,0,1.09,1.09,0,6.01,0,0.55,1.09,0,0,1.09,5.47,0,0,2.73,0,0,1.09,0.55,0,4.92,0,0,0,0,0,0,0
