stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,2.14,3.21,0,2.14,0,2.14,0,0,58.84,4.28,0,1.07,1.07,0,2.14,0,1.07,0,0,0
21Day,2.68,0,0,21.42,0,2.68,0,0,0,0,1.34,0,0,0,1.34,1.34,6.69,4.02,0,0,0,0,89.68,1.34,0,10.71,2.68,0,0,1.34,0,0,0,0
3Month,0,0.32,0.96,23.36,0,0,0.32,47.99,0.96,0,12.8,1.92,0,6.08,0.32,0.64,2.56,2.56,0.32,0,4.48,0.32,200.61,0,0.96,1.28,0.96,17.6,0,0,0,0.32,12.16,1.6
22Month,0,2.73,0.55,9.29,0,0,0,8.2,1.64,1.09,40.45,2.19,0.55,2.73,0,1.09,2.73,2.19,0,0,1.09,0,127.92,0.55,0.55,0,0.55,36.63,0,0,0,0,0.55,0
