stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,6.42,2.14,0,0,0,0,0
21Day,2.68,0,2.68,1.34,0,0,0,2.68,0,5.35,1.34,42.83,2.68,2.68,0,2.68,1.34,0
3Month,0,0.64,0.32,0,0.32,0,0.32,0.32,0,0,0,0.64,0,0,0.64,0,0,0.32
22Month,0,0,0.55,0,0,2.73,0,0,0.55,0.55,0,0,0,0,0,0,0,0
