stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,2.68,1.34,2.68,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0.32,0.96,0,0.32,2.56,0.32,0.64,0.32,0.64,0.32,0.64,0,0.64,0.32,4.8,1.28
22Month,0,0,0,0,6.01,0,0.55,0,0,0,0,0,0,0,1.09,0
