stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,1.34,0,4.02,2.68,0,1.34,0
3Month,1.6,0.64,0.32,2.24,0.32,0.32,0.32,0,0.64,1.28,2.24,6.72,0.32,0,9.6
22Month,1.64,0,0,3.28,0,0,0,0,0,0,0.55,0,0,0,0
