stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,4.09,32.69,4.09,12.26,0,0,8.17,16.35,24.52,0,130.76,4.09,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,2.14,3.21,8.56,2.14,1.07,0,1.07,0
21Day,1.34,0,1.34,1.34,0,0,1.34,1.34,0,1.34,1.34,0,1.34,0,0,1.34
22Month,0,0,0,0,0,0.55,0,0,0,1.64,0,0,0,0.55,0,0
