stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,4.02,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.64,0,0,1.92,0.64,0.64,0,0.64,0,0,0,0.32,0,0,0.32,9.6,0.32,0.64,0.32,0.32
22Month,0,0,0,0.55,0.55,6.01,0.55,0,0,0,1.64,0,0,0,11.48,0.55,0,8.75,0,0,0,0
