stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0
21Day,0,0,0,1.34,1.34,0,1.34,0,0,0,0
3Month,0.32,2.24,0.32,0,5.44,0.32,0,0.32,0.32,0,0.64
