stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage
24hpf,0,0,0,0,0,4.09,4.09
21Day,0,4.02,0,0,0,0,0
3Month,2.88,8.32,0.32,0.64,0.32,3.2,0
