stage,Epithelial_cell,Goblet_cell,Hepatocyte,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
3Month,0.32,0.32,0.32,0.32,0.32,0.32,8.64,2.56
22Month,0,0,1.09,0,0,0,0,0
