stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Radial_glia,Retinal_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,4.09,57.21,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,1.07,1.07,1.07,3.21,21.4,7.49,0,4.28,2.14,0
21Day,0,0,0,0,0,1.34,0,0,0,0,9.37,2.68,0,1.34,1.34,0
3Month,0,0,0,0.64,0.64,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,1.09,0,0,0.55,0,0,0,0,1.09,0,0,0.55
