stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,3.21,1.07,0,0,0,0,0,0,0
3Month,0.32,0.32,0.32,0.32,0.32,0,17.6,0.64,0,0,0.96,0.32,1.92,1.28,0,0.32,0.64,0.64,0,0.32,0.32,0.32,1.28,0.64,0.32,0.32
22Month,0,1.64,0,1.09,1.64,0.55,24.6,0,1.64,0.55,0,3.28,3.28,0,0.55,0,0,0,0,0.55,0,0,0,0.55,0,0
