stage,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,0,0,0,0,22.47,1.07,0,0
21Day,1.34,0,0,0,5.35,0,0,2.68
3Month,0,0,0.32,0,0,0,0.32,0
22Month,0,2.73,0,0.55,0,0,0,0
