stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Oligodendrocyte,Primordial_germ_cell
21Day,0,0,0,1.34,0,0,0,0
3Month,0.64,0.32,0.32,0,0.32,0.32,0.32,0.32
22Month,0,0,1.09,0,0,0,0,0
