stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,1.28,0,0.64,0.32,0.64,0.32,0.32,0,0,1.92,2.24,0.32
22Month,0.55,4.37,0.55,0,0,0.55,0,0,0,0,0.55,0,0.55
