stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,1.34,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0.96,1.6,0,0,0,0.64,0.32,6.08,0.32,0.64,0.64,0,0,0.32,0,0.32,0.32,0.32,0
22Month,1.09,0,0.55,0.55,0,2.73,2.19,4.37,18.04,0,0.55,1.64,0,0,0.55,0.55,0,0,0,0.55
