stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mt_rich_cell,Muscle_cell,Neural_cell,Retinal_cone_cell,T_cell
72hpf,1.07,0,0,0,0,3.21,0,0
21Day,0,0,0,0,1.34,8.03,1.34,0
3Month,0,0.32,0,0,0,0,0,0.32
22Month,0,0,3.28,0.55,0,0.55,0,0
