stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,8.17,40.86,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,4.28,5.35,1.07,3.21,0,0,0,1.07,2.14,0,0,0,1.07,0,0,0
21Day,0,0,0,0,5.35,0,12.05,0,0,0,0,13.39,0,1.34,0,2.68,1.34,0,0,0,2.68,1.34,0,0,0,1.34,0,0,9.37
3Month,0,0.32,0.32,3.84,0,0.96,0.64,0.64,1.6,4.16,3.84,1.6,2.24,0.96,0.64,2.24,1.6,0,0,0.32,0,0,0,0,0,0,45.11,151.98,2.24
22Month,0,1.64,0,0,0,0.55,0.55,0.55,3.28,1.64,1.64,0,0,0,0,2.73,2.19,0.55,1.09,0,0,0,0.55,0.55,0.55,0,10.39,1.64,0.55
