stage,Epithelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,4.09
72hpf,0,0,1.07,0
21Day,1.34,0,0,1.34
22Month,0.55,1.09,0,0
